filename,chroma_frequency,sp_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc,label
trap1080.wav,0.6034374833106995,1870.9343402299212,2179.688230682464,3929.7095709171826,0.03298090412151703,6.47810697555542,trap
trap1081.wav,0.47302138805389404,1456.071519746381,1750.41131630742,2779.28319405476,0.038565904363390094,-6.819096565246582,trap
trap1082.wav,0.6640718579292297,1916.875835298869,2161.8507222045555,3920.0262961372873,0.03958706220975232,-2.5391030311584473,trap
trap1083.wav,0.31356197595596313,933.0588372080003,959.1928589799886,1764.3226647155573,0.03504513956075851,-23.865863800048828,trap
trap1084.wav,0.2763533890247345,357.5876500942306,395.81006943394766,607.1629952351007,0.022533499419504645,-6.9489006996154785,trap
trap1085.wav,0.4465905725955963,2108.8328200721885,2159.9855859678564,4246.5743215460525,0.06619385521478328,-0.5969997644424438,trap
trap1086.wav,0.446211576461792,1954.5671376697085,1964.700613860694,3887.993156503967,0.06774940136416409,-0.4974306523799896,trap
trap1087.wav,0.45491838455200195,2108.9519830117433,2204.022980353191,4357.673649743615,0.064697265625,1.8611162900924683,trap
trap1088.wav,0.2501181960105896,729.0336145513221,782.1236198031714,1301.858794504644,0.034287774525928794,-16.994918823242188,trap
trap1089.wav,0.449783056974411,2149.634201478382,2219.5220596801055,4342.190410035313,0.06630345394736842,-0.7909257411956787,trap
trap109.wav,0.46632176637649536,2854.90835025981,2725.081824014007,6056.496710526316,0.10676579431114551,6.223004341125488,trap
trap1090.wav,0.4468954801559448,1944.813716166049,1960.2755935773082,3863.343305558243,0.06753549487229102,-0.4408910870552063,trap
trap1091.wav,0.4563461244106293,2104.4999662677646,2202.522564940949,4307.440620162539,0.06426794093459752,1.9279617071151733,trap
trap1092.wav,0.23858927190303802,717.7748286351599,757.812809843307,1268.6089955616292,0.03496804252128483,-17.560476303100586,trap
trap1093.wav,0.4568735659122467,2177.8129069737965,2241.986775604574,4414.956636694563,0.066292872000774,-0.45077142119407654,trap
trap1094.wav,0.4528202712535858,1929.4388659584117,1955.000464251743,3843.460092455979,0.06721501306114551,-0.2659962475299835,trap
trap1095.wav,0.4562295079231262,2096.1465585177602,2191.9139553331365,4264.2742145172215,0.06436771357391641,1.9125465154647827,trap
trap1096.wav,0.2356470823287964,737.5153314930509,778.8068556183019,1332.375276642318,0.035234858746130034,-17.658119201660156,trap
trap1097.wav,0.46022751927375793,2160.5623772283793,2223.192516131814,4354.873666674729,0.06647049753289473,-4.663249969482422,trap
trap1098.wav,0.38650745153427124,1906.0640750777845,1907.9187860343168,3611.0448311726004,0.08649985487616099,-18.7873592376709,trap
trap1099.wav,0.46905815601348877,1825.044935802947,1861.5753301992852,3595.16159388303,0.08016429227941177,-4.9485554695129395,trap
trap11.wav,0.3880855143070221,2131.7737276311905,2470.5959414409203,4707.671533354296,0.07698441732778638,4.932822227478027,trap
trap110.wav,0.7540457248687744,2039.4073669211587,2549.269344519218,4612.355443050987,0.02236267656733746,9.91871452331543,trap
